article No. , Words , sentences , Luhn Rouge1 , Luhn Rouge2 , TextRank-Word_count Rouge1 , TextRank-Word_count Rouge2 , TextRank-word2vec Rouge1 , TextRank-word2vec Rouge2
112,144,12,0.520833333,0.3,0.458333333,0.133333333,0.604166667,0.416666667
113,529,23,0.583333333,0.366666667,0.645833333,0.383333333,0.854166667,0.683333333
114,289,17,0.510204082,0.224137931,0.448979592,0.086206897,0.469387755,0.189655172
115,1156,34,0.480769231,0.118644068,0.538461538,0.13559322,0.634615385,0.254237288
116,49,7,0.288888889,0.071428571,0.022222222,0,0.022222222,0
117,1225,35,0.576923077,0.362068966,0.403846154,0.086206897,0.634615385,0.396551724
118,121,11,0.340909091,0.169811321,0.363636364,0.169811321,0.545454545,0.283018868
119,10609,103,0.604166667,0.275862069,0.520833333,0.068965517,0.583333333,0.25862069
120,729,27,0.481481481,0.25,0.481481481,0.25,0.574074074,0.283333333
121,1089,33,0.301886792,0.017241379,0.528301887,0.206896552,0.377358491,0.051724138
122,361,19,0.458333333,0.116666667,0.5,0.133333333,0.541666667,0.266666667
123,361,19,0.625,0.416666667,0.145833333,0.016666667,0.541666667,0.383333333
124,196,14,0.288888889,0.037735849,0.311111111,0.075471698,0.511111111,0.339622642
125,841,29,0.357142857,0.016666667,0.392857143,0.1,0.589285714,0.233333333
126,196,14,0.488372093,0.087719298,0.209302326,0.01754386,0.348837209,0.052631579
127,484,22,0.533333333,0.2,0.533333333,0.272727273,0.511111111,0.145454545
128,676,26,0.5,0.20754717,0.520833333,0.226415094,0.5625,0.245283019
129,729,27,0.52,0.172413793,0.56,0.25862069,0.6,0.275862069
130,529,23,0.596153846,0.366666667,0.346153846,0,0.307692308,0.033333333
131,225,15,0.25,0.089285714,0.208333333,0.017857143,0.354166667,0.142857143
132,256,16,0.454545455,0.24137931,0.363636364,0.137931034,0.590909091,0.293103448
133,529,23,0.6,0.406779661,0.36,0.050847458,0.56,0.406779661
134,576,24,0.565217391,0.122807018,0.434782609,0.035087719,0.565217391,0.122807018
135,8281,91,0.510204082,0.216666667,0.551020408,0.1,0.448979592,0.066666667
136,289,17,0.596153846,0.457627119,0.596153846,0.457627119,0.673076923,0.491525424
137,324,18,0.36,0.090909091,0.36,0.127272727,0.3,0.054545455
138,1024,32,0.47826087,0.078431373,0.47826087,0.156862745,0.543478261,0.176470588
139,400,20,0.482142857,0.1,0.464285714,0.116666667,0.517857143,0.366666667
140,289,17,0.319148936,0.072727273,0.234042553,0.054545455,0.70212766,0.490909091
141,784,28,0.844444444,0.690909091,0.688888889,0.472727273,0.844444444,0.690909091
142,225,15,0.132075472,0.017241379,0.566037736,0.25862069,0.754716981,0.465517241
143,49,7,0.333333333,0.224137931,0.039215686,0,0.039215686,0
144,256,16,0.458333333,0.183333333,0.479166667,0.15,0.5625,0.316666667
145,64,8,0.583333333,0.379310345,0.041666667,0,0.041666667,0
146,256,16,0.235294118,0.050847458,0.235294118,0.033898305,0.352941176,0.118644068
147,676,26,0.69047619,0.407407407,0.666666667,0.407407407,0.714285714,0.407407407
148,196,14,0.714285714,0.431034483,0.367346939,0.103448276,0.632653061,0.362068966
150,169,13,0.288461538,0.166666667,0.25,0.033333333,0.307692308,0.15
151,289,17,0.465116279,0.089285714,0.697674419,0.446428571,0.76744186,0.464285714
152,81,9,0.181818182,0.035087719,0.045454545,0,0.045454545,0
153,289,17,0.333333333,0.101694915,0.274509804,0.084745763,0.431372549,0.186440678
154,361,19,0.304347826,0.075471698,0.326086957,0.075471698,0.934782609,0.79245283
155,144,12,0.4,0.155172414,0.511111111,0.224137931,0.377777778,0.155172414
156,225,15,0.448979592,0.293103448,0.448979592,0.224137931,0.448979592,0.24137931
157,7569,87,0.64,0.133333333,0.56,0.15,0.66,0.15
158,676,26,0.675,0.283018868,0.65,0.264150943,0.675,0.301886792
159,289,17,0.272727273,0.02,0.363636364,0.04,0.431818182,0.2
160,2025,45,0.5625,0.293103448,0.520833333,0.120689655,0.666666667,0.344827586
161,196,14,0.395348837,0.072727273,0.418604651,0.036363636,0.348837209,0.072727273
162,64,8,0.339622642,0.237288136,0.037735849,0,0.037735849,0
163,784,28,0.255319149,0,0.319148936,0,0.829787234,0.616666667
164,64,8,0.265306122,0.051724138,0.040816327,0,0.040816327,0
165,441,21,0.468085106,0.068965517,0.531914894,0.086206897,0.361702128,0.051724138
166,100,10,0.395348837,0.163636364,0.279069767,0.036363636,0.441860465,0.163636364
167,225,15,0.581395349,0.265306122,0.255813953,0.020408163,0.651162791,0.285714286
168,576,24,0.4,0.237288136,0.4,0.203389831,0.466666667,0.338983051
169,196,14,0.32,0.105263158,0.36,0.122807018,0.36,0.157894737
170,64,8,0.42,0.275862069,0.02,0,0.02,0
171,289,17,0.42,0.155172414,0.72,0.362068966,0.72,0.362068966
172,225,15,0.733333333,0.457627119,0.733333333,0.457627119,0.866666667,0.542372881
173,625,25,0.340425532,0.142857143,0.468085106,0.232142857,0.510638298,0.25
174,5329,73,0.5,0.157894737,0.576923077,0.175438596,0.576923077,0.263157895
175,25,5,0.020833333,0,0.041666667,0,0.041666667,0
176,20449,143,0.734693878,0.474576271,0.755102041,0.457627119,0.755102041,0.474576271
177,144,12,0.361702128,0.166666667,0.468085106,0.240740741,0.340425532,0.148148148
178,400,20,0.530612245,0.218181818,0.448979592,0.127272727,0.571428571,0.218181818
179,225,15,0.4375,0.228070175,0.5,0.228070175,0.416666667,0.210526316
180,100,10,0.333333333,0.101694915,0.470588235,0.203389831,0.470588235,0.203389831
181,100,10,0.42,0.280701754,0.44,0.280701754,0.44,0.280701754
182,1444,38,0.565217391,0.303571429,0.47826087,0.107142857,0.652173913,0.339285714
183,784,28,0.37254902,0.05,0.37254902,0.05,0.352941176,0.066666667
184,676,26,0.361702128,0.017241379,0.276595745,0,0.468085106,0.189655172
185,676,26,0.577777778,0.181818182,0.355555556,0.054545455,0.555555556,0.181818182
186,256,16,0.178571429,0,0.267857143,0.016949153,0.464285714,0.203389831
188,225,15,0.416666667,0.096153846,0.520833333,0.230769231,0.541666667,0.096153846
189,225,15,0.469387755,0.175438596,0.265306122,0.01754386,0.510204082,0.175438596
190,20449,143,0.76,0.589285714,0.5,0.160714286,0.74,0.571428571
191,400,20,0.36,0.090909091,0.46,0.2,0.3,0.127272727
192,1936,44,0.510638298,0.035087719,0.382978723,0.052631579,0.404255319,0.122807018
193,49,7,0.4,0.120689655,0.022222222,0,0.022222222,0
194,169,13,0.22,0.017241379,0.22,0.017241379,0.32,0.068965517
195,324,18,0.433962264,0.06779661,0.283018868,0.050847458,0.339622642,0.033898305
196,169,13,0.547169811,0.224137931,0.377358491,0.086206897,0.471698113,0.155172414
197,289,17,0.240740741,0.016949153,0.462962963,0.220338983,0.314814815,0.06779661
198,625,25,0.37254902,0.084745763,0.431372549,0.186440678,0.31372549,0.101694915
199,49,7,0.173913043,0.017241379,0.043478261,0,0.043478261,0
200,169,13,0.509803922,0.266666667,0.235294118,0.033333333,0.509803922,0.266666667
201,441,21,0.591836735,0.303571429,0.591836735,0.285714286,0.612244898,0.303571429
202,100,10,0.4,0.186440678,0.4,0.169491525,0.4,0.152542373
203,576,24,0.395833333,0.1,0.520833333,0.116666667,0.625,0.266666667
204,1521,39,0.32,0.053571429,0.26,0,0.4,0.071428571
205,144,12,0.208333333,0.017241379,0.395833333,0.293103448,0.25,0.051724138
206,36,6,0.1875,0.033898305,0.041666667,0,0.041666667,0
207,256,16,0.511627907,0.267857143,0.534883721,0.232142857,0.558139535,0.357142857
208,400,20,0.604651163,0.192307692,0.674418605,0.192307692,0.604651163,0.230769231
209,100,10,0.217391304,0.034482759,0.369565217,0.086206897,0.347826087,0.103448276
210,144,12,0.5,0.237288136,0.458333333,0.13559322,0.5,0.237288136
211,49,7,0.6,0.518518519,0.066666667,0,0.066666667,0
212,169,13,0.489361702,0.235294118,0.489361702,0.196078431,0.531914894,0.294117647
213,196,14,0.574468085,0.275862069,0.446808511,0.103448276,0.382978723,0.189655172
214,1521,39,0.530612245,0.107142857,0.489795918,0.125,0.612244898,0.196428571
215,324,18,0.326923077,0.084745763,0.192307692,0.016949153,0.461538462,0.186440678
216,441,21,0.5625,0.315789474,0.666666667,0.438596491,0.645833333,0.421052632
217,256,16,0.5625,0.320754717,0.625,0.377358491,0.708333333,0.396226415
218,169,13,0.44,0.24137931,0.26,0.086206897,0.48,0.25862069
219,841,29,0.588235294,0.275862069,0.62745098,0.275862069,0.549019608,0.275862069
220,441,21,0.583333333,0.305084746,0.583333333,0.305084746,0.5625,0.305084746
221,144,12,0.326086957,0.071428571,0.326086957,0.071428571,0.565217391,0.285714286
222,64,8,0.547619048,0.269230769,0.023809524,0,0.023809524,0
223,256,16,0.765957447,0.368421053,0.319148936,0.035087719,0.765957447,0.368421053
224,169,13,0.346938776,0.1,0.448979592,0.266666667,0.612244898,0.35
225,961,31,0.62745098,0.327586207,0.549019608,0.310344828,0.607843137,0.293103448
226,441,21,0.384615385,0.068965517,0.576923077,0.224137931,0.480769231,0.086206897
227,289,17,0.375,0.050847458,0.3125,0.050847458,0.5,0.271186441
228,529,23,0.456521739,0.125,0.5,0.178571429,0.5,0.142857143
229,225,15,0.372093023,0.038461538,0.255813953,0.019230769,0.372093023,0.096153846
230,361,19,0.377358491,0.083333333,0.283018868,0,0.396226415,0.083333333
231,64,8,0.386363636,0.2,0.045454545,0,0.045454545,0
232,144,12,0.230769231,0.051724138,0.269230769,0,0.269230769,0.034482759
233,729,27,0.28,0.107142857,0.26,0.035714286,0.38,0.107142857
234,144,12,0.511111111,0.203389831,0.2,0.016949153,0.488888889,0.203389831
235,64,8,0.531914894,0.407407407,0.042553191,0,0.042553191,0
236,400,20,0.619047619,0.314814815,0.619047619,0.296296296,0.547619048,0.314814815
237,256,16,0.211538462,0.05,0.288461538,0.033333333,0.403846154,0.233333333
238,529,23,0.529411765,0.237288136,0.705882353,0.440677966,0.647058824,0.389830508
239,81,9,0.533333333,0.322033898,0.044444444,0,0.044444444,0
240,1296,36,0.645833333,0.310344828,0.666666667,0.24137931,0.770833333,0.431034483
241,225,15,0.234042553,0.017241379,0.553191489,0.344827586,0.531914894,0.344827586
242,64,8,0.230769231,0.050847458,0.038461538,0,0.038461538,0
243,169,13,0.431818182,0.117647059,0.363636364,0.078431373,0.431818182,0.117647059
244,289,17,0.211538462,0.051724138,0.25,0.017241379,0.461538462,0.310344828
245,400,20,0.215686275,0.017857143,0.176470588,0,0.509803922,0.178571429
246,24964,158,0.619047619,0.204081633,0.547619048,0.204081633,0.666666667,0.265306122
247,225,15,0.625,0.396551724,0.4375,0.25862069,0.625,0.396551724
248,64,8,0.489795918,0.232142857,0.040816327,0,0.040816327,0
249,441,21,0.37254902,0.118644068,0.450980392,0.13559322,0.529411765,0.271186441
250,289,17,0.568181818,0.24137931,0.636363636,0.310344828,0.795454545,0.396551724
251,324,18,0.5,0.275862069,0.416666667,0.068965517,0.395833333,0.103448276
252,2209,47,0.519230769,0.293103448,0.5,0.120689655,0.307692308,0.051724138
254,441,21,0.591836735,0.266666667,0.591836735,0.25,0.632653061,0.283333333
255,64,8,0.489361702,0.333333333,0.063829787,0,0.063829787,0
256,36,6,0.294117647,0.172413793,0.039215686,0,0.039215686,0
257,100,10,0.32,0.15,0.26,0.05,0.46,0.183333333
259,169,13,0.43902439,0.25,0.463414634,0.230769231,0.146341463,0
260,324,18,0.333333333,0.140350877,0.5625,0.421052632,0.3125,0.122807018
261,225,15,0.326086957,0.103448276,0.565217391,0.275862069,0.456521739,0.155172414
262,3249,57,0.534883721,0.267857143,0.534883721,0.267857143,0.581395349,0.303571429
263,441,21,0.520833333,0.214285714,0.5,0.178571429,0.604166667,0.321428571
264,441,21,0.358490566,0.033898305,0.283018868,0.016949153,0.320754717,0.033898305
265,529,23,0.48,0.103448276,0.56,0.224137931,0.62,0.396551724
266,256,16,0.274509804,0.083333333,0.333333333,0.1,0.274509804,0.05
267,1024,32,0.565217391,0.122807018,0.739130435,0.350877193,0.717391304,0.350877193
268,144,12,0.585365854,0.211538462,0.512195122,0.153846154,0.487804878,0.134615385
269,400,20,0.42,0.263157895,0.44,0.245614035,0.26,0
270,225,15,0.31372549,0.066666667,0.490196078,0.233333333,0.31372549,0.05
271,484,22,0.274509804,0.016666667,0.450980392,0.1,0.68627451,0.416666667
272,625,25,0.46,0.206896552,0.32,0.034482759,0.26,0.034482759
273,1521,39,0.388888889,0.033898305,0.37037037,0.033898305,0.37037037,0.016949153
274,100,10,0.547619048,0.425531915,0.333333333,0.085106383,0.761904762,0.574468085
275,400,20,0.522727273,0.277777778,0.522727273,0.296296296,0.681818182,0.444444444
276,225,15,0.54,0.355932203,0.6,0.389830508,0.52,0.322033898
277,144,12,0.446808511,0.084745763,0.446808511,0.084745763,0.446808511,0.101694915
278,144,12,0.290909091,0.068965517,0.527272727,0.293103448,0.290909091,0.068965517
279,144,12,0.240740741,0.033898305,0.481481481,0.338983051,0.722222222,0.610169492
280,169,13,0.510204082,0.137931034,0.510204082,0.137931034,0.367346939,0.086206897
281,121,11,0.208333333,0.016949153,0.395833333,0.203389831,0.375,0.186440678
282,144,12,0.348837209,0.089285714,0.372093023,0.125,0.325581395,0.107142857
283,400,20,0.391304348,0.189655172,0.347826087,0.120689655,0.369565217,0.137931034
284,144,12,0.423076923,0.35,0.307692308,0.166666667,0.423076923,0.35
285,324,18,0.551020408,0.25,0.530612245,0.232142857,0.632653061,0.375
286,1024,32,0.673469388,0.413793103,0.469387755,0.068965517,0.591836735,0.206896552
287,289,17,0.204081633,0,0.632653061,0.305084746,0.551020408,0.305084746
288,841,29,0.470588235,0.105263158,0.470588235,0.105263158,0.450980392,0.140350877
289,576,24,0.490196078,0.237288136,0.490196078,0.237288136,0.31372549,0.050847458
290,144,12,0.479166667,0.2,0.4375,0.181818182,0.479166667,0.2
291,144,12,0.20754717,0,0.377358491,0.196721311,0.20754717,0.016393443
292,625,25,0.37254902,0.083333333,0.37254902,0.083333333,0.392156863,0.066666667
293,100,10,0.44,0.203389831,0.16,0,0.46,0.203389831
294,324,18,0.346153846,0.13559322,0.326923077,0.152542373,0.346153846,0.13559322
296,144,12,0.530612245,0.322033898,0.571428571,0.322033898,0.734693878,0.440677966
297,441,21,0.519230769,0.186440678,0.423076923,0.13559322,0.480769231,0.169491525
298,441,21,0.355555556,0.13559322,0.422222222,0.13559322,0.355555556,0.13559322
299,144,12,0.36,0.206896552,0.16,0,0.5,0.344827586
300,361,19,0.529411765,0.283333333,0.529411765,0.283333333,0.568627451,0.366666667
301,361,19,0.68,0.24137931,0.32,0,0.66,0.25862069
302,25,5,0.020408163,0,0.040816327,0,0.040816327,0
303,484,22,0.462962963,0.2,0.444444444,0.183333333,0.611111111,0.35
304,100,10,0.279069767,0.017857143,0.395348837,0.071428571,0.511627907,0.267857143
305,100,10,0.0625,0,0.6875,0.517241379,0.6875,0.517241379
306,289,17,0.5,0.25,0.5,0.25,0.522727273,0.216666667
307,121,11,0.215686275,0.033333333,0.411764706,0.183333333,0.549019608,0.283333333
308,49,7,0.367346939,0.06779661,0.020408163,0,0.020408163,0
309,196,14,0.454545455,0.183333333,0.163636364,0.016666667,0.290909091,0.05
310,729,27,0.576923077,0.216666667,0.634615385,0.333333333,0.807692308,0.483333333
311,324,18,0.636363636,0.224137931,0.568181818,0.206896552,0.681818182,0.224137931
312,2500,50,0.291666667,0.033898305,0.354166667,0.033898305,0.270833333,0.016949153
313,100,10,0.52,0.344827586,0.58,0.379310345,0.62,0.448275862
314,900,30,0.714285714,0.457627119,0.591836735,0.288135593,0.673469388,0.423728814
315,289,17,0.586956522,0.233333333,0.347826087,0.166666667,0.043478261,0
316,100,10,0.395833333,0.142857143,0.458333333,0.142857143,0.416666667,0.285714286
317,49,7,0.173913043,0.017857143,0.043478261,0,0.043478261,0
318,256,16,0.431818182,0.166666667,0.5,0.148148148,0.545454545,0.185185185
319,361,19,0.215686275,0.017241379,0.37254902,0.120689655,0.31372549,0.017241379
320,169,13,0.226415094,0.016666667,0.283018868,0.033333333,0.377358491,0.116666667
321,144,12,0.4,0.086206897,0.18,0.017241379,0.38,0.120689655
322,529,23,0.387755102,0.127272727,0.428571429,0.145454545,0.530612245,0.236363636
323,144,12,0.395833333,0.066666667,0.395833333,0.2,0.354166667,0.116666667
324,64,8,0.375,0.178571429,0.041666667,0,0.041666667,0
325,1225,35,0.326530612,0.05,0.367346939,0.083333333,0.408163265,0.133333333
326,4900,70,0.6875,0.339622642,0.666666667,0.339622642,0.770833333,0.452830189
327,289,17,0.326086957,0.068965517,0.391304348,0.137931034,0.347826087,0.086206897
328,121,11,0.311111111,0.051724138,0.355555556,0.051724138,0.355555556,0.051724138
329,3600,60,0.673076923,0.280701754,0.711538462,0.263157895,0.807692308,0.421052632
330,289,17,0.31372549,0.017857143,0.37254902,0.053571429,0.411764706,0.125
331,400,20,0.5,0.236363636,0.804347826,0.6,0.695652174,0.527272727
332,324,18,0.423076923,0.017241379,0.365384615,0.051724138,0.288461538,0.017241379
333,676,26,0.530612245,0.155172414,0.489795918,0.103448276,0.571428571,0.155172414
334,225,15,0.444444444,0.237288136,0.466666667,0.169491525,0.666666667,0.372881356
335,81,9,0.340909091,0.071428571,0.045454545,0,0.045454545,0
336,529,23,0.47826087,0.103448276,0.543478261,0.103448276,0.608695652,0.172413793
337,256,16,0.509803922,0.285714286,0.411764706,0.142857143,0.705882353,0.464285714
338,4761,69,0.644444444,0.22,0.555555556,0.2,0.666666667,0.2
339,784,28,0.307692308,0.118644068,0.192307692,0.050847458,0.269230769,0.118644068
340,324,18,0.586956522,0.290909091,0.391304348,0.036363636,0.695652174,0.509090909
341,81,9,0.183673469,0,0.06122449,0,0.06122449,0
342,100,10,0.166666667,0.016949153,0.25,0.06779661,0.25,0.033898305
343,64,8,0.1875,0,0.03125,0,0.03125,0
344,625,25,0.509803922,0.172413793,0.490196078,0.172413793,0.529411765,0.172413793
345,169,13,0.346153846,0.137931034,0.346153846,0.068965517,0.346153846,0.137931034
346,144,12,0.211538462,0.066666667,0.230769231,0.05,0.25,0.1
347,1849,43,0.270833333,0.017241379,0.229166667,0.017241379,0.270833333,0.017241379
348,256,16,0.285714286,0,0.333333333,0.019607843,0.380952381,0.058823529
349,361,19,0.468085106,0.118644068,0.382978723,0.033898305,0.489361702,0.152542373
350,676,26,0.358490566,0.118644068,0.301886792,0,0.377358491,0.101694915
351,784,28,0.346153846,0.06779661,0.384615385,0.084745763,0.326923077,0.06779661
352,676,26,0.386363636,0.086206897,0.363636364,0.068965517,0.590909091,0.327586207
353,49,7,0.2,0.018867925,0.066666667,0,0.044444444,0
354,900,30,0.717391304,0.464285714,0.5,0.178571429,0.695652174,0.410714286
355,361,19,0.26,0.016949153,0.24,0.033898305,0.24,0.016949153
356,529,23,0.586956522,0.178571429,0.391304348,0.053571429,0.652173913,0.196428571
357,1681,41,0.269230769,0.06779661,0.230769231,0.050847458,0.269230769,0
